# time	signal	sigma
-4.392749915431771875e-06	6.743882678071440773e-05	1.827643076439507174e-03
-4.390749915488335738e-06	6.649703548451639111e-05	1.831233569331525103e-03
-4.388749915544899601e-06	6.134559913151535818e-05	1.833674503108507093e-03
-4.386749915601463464e-06	5.928724049890531284e-05	1.850239610049697224e-03
-4.384749915658027327e-06	5.870111471042025928e-05	1.853129705650184787e-03
-4.382749915714591190e-06	5.465089172735055712e-05	1.858243909331938398e-03
-4.380749915771155053e-06	5.135402262928306038e-05	1.859025577114451757e-03
-4.378749915827718916e-06	4.993317941169839972e-05	1.859247109656261138e-03
-4.376749915884282779e-06	5.549240410702509479e-05	1.882017324141725548e-03
-4.374749915940846641e-06	5.445959721678936987e-05	1.881776289113642900e-03
-4.372749915997410504e-06	5.435473214954730304e-05	1.884194441217231647e-03
-4.370749916053974367e-06	5.302045399060443186e-05	1.886740394587192379e-03
-4.368749916110538230e-06	5.271510393917746813e-05	1.890130967422408523e-03
-4.366749916167102093e-06	5.249356548063566533e-05	1.893290482639200687e-03
-4.364749916223665956e-06	5.368914077903582912e-05	1.895222274860915287e-03
-4.362749916280229819e-06	5.614017354019518191e-05	1.900430075993000132e-03
-4.360749916336793682e-06	5.937119610298785012e-05	1.903568077729163831e-03
-4.358749916393357545e-06	6.291843683698993071e-05	1.903415774455779769e-03
-4.356749916449921408e-06	6.558997750781240404e-05	1.902016949699579474e-03
-4.354749916506485271e-06	6.606083045021244986e-05	1.900536855345810435e-03
-4.352749916563049134e-06	6.834364727675689831e-05	1.901504734700338369e-03
-4.350749916619612997e-06	7.056434897028234236e-05	1.901066033441093728e-03
-4.348749916676176860e-06	6.905362673895319334e-05	1.900525897916004918e-03
-4.346749916732740722e-06	6.811249742875667408e-05	1.898550693554603873e-03
-4.344749916789304585e-06	6.905480361300043730e-05	1.894269439906399359e-03
-4.342749916845868448e-06	6.888343355568728003e-05	1.888425685359895355e-03
-4.340749916902432311e-06	6.777810519767285254e-05	1.886612110029497417e-03
-4.338749916958996174e-06	6.447376822045262858e-05	1.881807470044950976e-03
-4.336749917015560037e-06	6.273960365617163636e-05	1.881564308986237704e-03
-4.334749917072123900e-06	6.325411450725183977e-05	1.880898058482951109e-03
-4.332749917128687763e-06	6.174308039741255847e-05	1.883602071457759911e-03
-4.330749917185251626e-06	5.819929713583823540e-05	1.884571868746269183e-03
-4.328749917241815489e-06	5.649325880643737041e-05	1.888306571142499149e-03
-4.326749917298379352e-06	5.398446353303753219e-05	1.889282533851235077e-03
-4.324749917354943215e-06	5.285300254633998720e-05	1.888872833637022684e-03
-4.322749917411507078e-06	5.197037426115072209e-05	1.887913613048462867e-03
-4.320749917468070941e-06	5.160728206475253188e-05	1.884641005340479411e-03
-4.318749917524634803e-06	5.421357779157523623e-05	1.880192307275384321e-03
-4.316749917581198666e-06	5.593086894293956314e-05	1.874111960358659052e-03
-4.314749917637762529e-06	5.991356863397648768e-05	1.882067244290852159e-03
-4.312749917694326392e-06	6.117118493658836955e-05	1.874157714035194029e-03
-4.310749917750890255e-06	6.194213854041120981e-05	1.866707688784177048e-03
-4.308749917807454118e-06	6.260403430281728592e-05	1.863694575202538319e-03
-4.306749917864017981e-06	5.991147175677667182e-05	1.859602869514998544e-03
-4.304749917920581844e-06	5.669665698544765328e-05	1.857832175911953640e-03
-4.302749917977145707e-06	5.336702740085695282e-05	1.856521862136657069e-03
-4.300749918033709570e-06	4.962346020003316027e-05	1.855260683120466296e-03
-4.298749918090273433e-06	4.421564833053404369e-05	1.854074651154329501e-03
-4.296749918146837296e-06	4.188994557567034022e-05	1.856004785474703149e-03
-4.294749918203401159e-06	3.924299417697266765e-05	1.857433687296183421e-03
-4.292749918259965021e-06	4.024197539498155000e-05	1.859750381828217773e-03
-4.290749918316528884e-06	3.926771931699629572e-05	1.860414483101333148e-03
-4.288749918373092747e-06	3.841139740251280229e-05	1.860636649467149696e-03
-4.286749918429656610e-06	3.879904019122662755e-05	1.859037186514301632e-03
-4.284749918486220473e-06	3.925870891854436038e-05	1.860012744249409143e-03
-4.282749918542784336e-06	4.352129453574226400e-05	1.873417382787547587e-03
-4.280749918599348199e-06	4.551102699416217337e-05	1.873856356291798064e-03
-4.278749918655912062e-06	4.789052995526408402e-05	1.873234586763661844e-03
-4.276749918712475925e-06	5.083661855673072389e-05	1.872230362591700489e-03
-4.274749918769039788e-06	5.204890772822452294e-05	1.871357451814831784e-03
-4.272749918825603651e-06	5.384135322455962935e-05	1.870296691828506833e-03
-4.270749918882167514e-06	5.642149465642890297e-05	1.868415613252255841e-03
-4.268749918938731377e-06	5.951290246382899031e-05	1.869865236939844333e-03
-4.266749918995295240e-06	5.745537699498202359e-05	1.871194781518031565e-03
-4.264749919051859102e-06	5.762655263525317227e-05	1.874232917646679979e-03
-4.262749919108422965e-06	6.059289525921890927e-05	1.880204992036259466e-03
-4.260749919164986828e-06	6.073943089236200890e-05	1.885891757277166104e-03
-4.258749919221550691e-06	5.908272889617531120e-05	1.894085795747726605e-03
-4.256749919278114554e-06	5.910666134458499802e-05	1.900355689175769027e-03
-4.254749919334678417e-06	5.865569139058202021e-05	1.906526931809660215e-03
-4.252749919391242280e-06	5.815219208120981926e-05	1.908375575456525662e-03
-4.250749919447806143e-06	5.746609673961532324e-05	1.907565776825901520e-03
-4.248749919504370006e-06	5.857382607690679957e-05	1.906598743849782784e-03
-4.246749919560933869e-06	5.900785462555791655e-05	1.903712150623267227e-03
-4.244749919617497732e-06	6.073233439494732041e-05	1.898701060524723505e-03
-4.242749919674061595e-06	6.600391939737832304e-05	1.899163348764830103e-03
-4.240749919730625458e-06	7.074878063752147001e-05	1.903970554695947216e-03
-4.238749919787189321e-06	7.306102801065191422e-05	1.901665409008744707e-03
-4.236749919843753183e-06	7.482549918740446853e-05	1.900819116573433188e-03
-4.234749919900317046e-06	7.703595981009538562e-05	1.899825542865442004e-03
-4.232749919956880909e-06	7.989615028373637845e-05	1.900256599401592720e-03
