,fname,one_x_offset_init,one_amplitude_init,two_amplitude_init,two_x_offset_init,one_x_offset_fitted,one_amplitude_fitted,two_amplitude_fitted,two_x_offset_fitted
0,C2doubles01804,2.07325510025e-06,0.993507199897,0.993507199897,7.56725492592e-06,2.13037360629e-06,1.1408339015,1.01352476202,7.59584860867e-06
0,C2doubles01819,1.7672481775e-06,0.993507199897,0.993507199897,2.74924813078e-06,1.95599770598e-06,0.983670494947,0.517892637915,2.81528732892e-06
0,C2doubles01845,2.66924699675e-06,0.993507199897,0.993507199897,3.25324696129e-06,2.71199459619e-06,0.644860979261,1.1099783599,2.71122193961e-06
0,C2doubles01856,2.91524410171e-06,0.993507199897,0.993507199897,6.74724397439e-06,2.9566359884e-06,0.889209069447,0.912657145761,6.58851931115e-06
0,C2doubles01875,3.50524928358e-06,0.993507199897,0.993507199897,6.57124919687e-06,3.52799963177e-06,1.13279419279,0.808359445993,6.61000024837e-06
0,C2doubles01887,2.98924641009e-06,0.993507199897,0.993507199897,6.52324631014e-06,3.0716670933e-06,0.9283436124,0.631288888909,6.61936249898e-06
0,C2doubles01952,2.33251686588e-07,0.993507199897,0.993507199897,5.67725153262e-06,4.11468171375e-07,0.773746756904,0.975033594785,5.72294115007e-06
0,C2doubles01963,2.47248220488e-07,0.993507199897,0.993507199897,3.68324810436e-06,3.01742228918e-07,0.777458687818,0.975458130196,3.63229340458e-06
0,C2doubles02000,3.81248794316e-07,0.993507199897,0.993507199897,1.37124874737e-06,4.18309153748e-07,0.983670494947,0.517892637915,1.67685809898e-06
0,C2doubles02004,1.59124991533e-06,0.993507199897,0.993507199897,6.5972497548e-06,1.6274933913e-06,0.882913797908,0.899153086876,6.42599583191e-06
0,C2doubles02033,1.53524876168e-06,0.993507199897,0.993507199897,7.82724856478e-06,1.56710853316e-06,0.820465526595,0.961907929014,7.59639200893e-06
0,C2doubles02082,2.3492470058e-06,0.993507199897,0.993507199897,3.37724695778e-06,2.40266039809e-06,0.619686790266,1.08356293399,3.12573676309e-06
0,C2doubles02112,2.50524988948e-06,0.993507199897,0.993507199897,4.85124980418e-06,2.5485700076e-06,0.823915512073,0.93577292712,4.86891276458e-06
0,C2doubles02127,2.80725219141e-06,0.993507199897,0.993507199897,7.5012520397e-06,2.83253429507e-06,1.02483318555,1.04889570566,7.46913416322e-06
0,C2doubles02143,4.0072463813e-06,0.993507199897,0.993507199897,8.09924624662e-06,4.06876647256e-06,1.13241508807,0.666637231163,7.99672822367e-06
0,C2doubles02199,1.87325164021e-06,0.993507199897,0.993507199897,5.74125151186e-06,1.91157375638e-06,1.1322392025,1.04175577469,5.84285660917e-06
0,C2doubles02200,4.16525157538e-06,0.993507199897,0.993507199897,6.20925151758e-06,4.19115849119e-06,0.914465358207,0.880514511104,6.24599875261e-06
0,C2doubles02211,3.20925044719e-06,0.993507199897,0.993507199897,6.13325034554e-06,3.27501365541e-06,0.9009611626,0.916096976038,6.17368737491e-06
0,C2doubles02242,6.09247055015e-07,0.993507199897,0.993507199897,6.45324688974e-06,7.54375042409e-07,1.09514208679,1.04481822474,6.51675082357e-06
0,C2doubles02271,1.85124933036e-06,0.993507199897,0.993507199897,3.12524927538e-06,1.88878018829e-06,1.04242886718,0.788896514346,3.0851300539e-06
0,C2doubles02276,1.84525106338e-06,0.993507199897,0.993507199897,7.0052508985e-06,1.91242491281e-06,0.952140127596,0.988674457933,6.98159263748e-06
0,C2doubles02361,1.54324933907e-06,0.993507199897,0.993507199897,6.86324918861e-06,1.61402131799e-06,0.771161890329,0.822820705217,6.89296895629e-06
0,C2doubles02368,2.59524988693e-06,0.993507199897,0.993507199897,7.28924973523e-06,2.62663537474e-06,0.986567322507,0.795898984829,7.2642858999e-06
0,C2doubles02526,2.3125053141e-07,0.993507199897,0.993507199897,4.4252504128e-06,2.69120077783e-07,0.759696367776,1.07811702623,4.46233082091e-06
0,C2doubles02559,2.81125045844e-06,0.993507199897,0.993507199897,6.20725034345e-06,2.8722424073e-06,0.935507512754,0.830300854695,6.13115444898e-06
0,C2doubles02594,2.86725161209e-06,0.993507199897,0.993507199897,7.51125148075e-06,2.91218832655e-06,1.0144074778,0.848079484248,7.53804696845e-06
0,C2doubles02617,2.33924585085e-06,0.993507199897,0.993507199897,3.44324580068e-06,2.38911115554e-06,1.13144775827,0.918464077654,3.34999507016e-06
